Model,Dataset,Language,Task,Rouge 1,Rouge 2,Rouge L,Rouge Lsum,Exact Match,F1,METEOR

gemma2:9b-instruct-fp16,DisflQA,en,disfluency-correction,83.28,71.99,80.66,80.67,21.77,83.1,89.08
llama3.1:8b-instruct-fp16,DisflQA,en,disfluency-correction,78.94,65.33,75.8,75.8,11.45,78.46,85.69
mistral-nemo:12b-instruct-2407-fp16,DisflQA,en,disfluency-correction,78.21,63.1,75.24,75.24,15.21,77.77,81.38

gemma2:9b-instruct-fp16,DISCO-en,en,disfluency-correction,92.4,85.56,91.63,91.64,64.44,92.59,91.55
llama3.1:8b-instruct-fp16,DISCO-en,en,disfluency-correction,91.2,84.57,90.58,90.58,64.01,91.43,91.07
mistral-nemo:12b-instruct-2407-fp16,DISCO-en,en,disfluency-correction,85.44,73.14,84.39,84.36,41.87,85.52,85.02

gemma2:9b-instruct-fp16,DISCO-de,de,disfluency-correction,77.03,63.48,75.15,75.16,34.04,77.02,76.18
llama3.1:8b-instruct-fp16,DISCO-de,de,disfluency-correction,66.87,52.73,65.21,65.24,25.94,66.77,65.83
mistral-nemo:12b-instruct-2407-fp16,DISCO-de,de,disfluency-correction,73.25,54.28,71.57,71.6,20.64,73.35,72.62

gemma2:9b-instruct-fp16,CNNDM,en,summarization,34.98,11.21,22.51,28.43,0.0,33.3,29.73
llama3.1:8b-instruct-fp16,CNNDM,en,summarization,36.44,12.44,23.09,29.38,0.0,34.88,31.97
mistral-nemo:12b-instruct-2407-fp16,CNNDM,en,summarization,30.81,9.44,20.49,25.48,0.0,30.19,24.01

gemma2:9b-instruct-fp16,MLSUM,de,summarization,20.81,6.52,15.4,15.41,0.0,20.5,17.63
llama3.1:8b-instruct-fp16,MLSUM,de,summarization,21.68,7.43,16.04,16.03,0.0,21.41,19.42
mistral-nemo:12b-instruct-2407-fp16,MLSUM,de,summarization,18.81,6.27,13.59,13.6,0.01,18.51,19.62

